label	title
1	Municipal Protected Area expanded in Ecuador’s most threatened ecosystem
0	Your impact in Roraima, Brazil
1	Thanks to your support, Ecuador expands its newest national park!
0	Ecuador declares the first connectivity corridor in the country
1	A milestone for conservation in Peru
1	Helping nature’s greatest guardians
1	Study by Nature and Culture identifies priority conservation areas
0	Your Generosity at work in El Sabinito Sur, Mexico
0	A message on diversity, equity, and inclusion
0	Supporting community partners in Cazaderos, Ecuador
0	Conserving connectivity in Ecuador
0	A fisherman’s fight against COVID-19
0	COVID-19 Update: Indigenous & Rural Communities
0	Biodiversity & Your Health
1	Nature Is Calling: The Climate Issue
0	We are in this together
0	Your impact in 2019
1	Conservation area nearly doubled in northern Peru
1	New Study on Monte Mojino Reserve
1	The first Regional Conservation Area in Huánuco, Peru
0	Reflections on 2019
1	Nature is Calling: 2019 Fall Newsletter
0	Securing Clean Water for 46 Communities
0	III Congress of Protected Areas of Latin America and the Caribbean
1	The First Regional Conservation Area in Cajamarca, Peru
0	PBS, 20 Million & More!
0	2018 Impact Report
1	We did it! 20 MILLION acres   for the planet.
1	Autonomous Indigenous Government Protects Three Million Acres in Bolivia’s Chaco
1	Huamboya Municipal Conservation Area Protects Critical Ecosystems in Central Ecuador
1	Zamora Chinchipe Provincial Reserve Protects Nearly 1.1 Million Acres in Southern Ecuador
1	2 weeks. 2 countries. 3 NEW protected areas.
1	Boshumi Regional Conservation Area Protects Nearly 500,000 Acres of Critical Habitat in North-Central Peru
1	Volcán Azufral Natural Park: Protecting Colombia’s Páramos
1	Nature is Calling: 2018 Fall Newsletter
0	New hummingbird species discovered in Ecuador
1	Cujillo Private Conservation Area: Protecting Peru’s Incredible Dry Forest
1	Peru Declares New Conservation Area Protecting Almost 200 Species Found Nowhere Else on the Planet
1	Colombia Declares New Natural Park Protecting Water for 116,000 People
0	Sip a beer, save a bear…Join us on May 12 at Beer for Bears!
1	Announcing Matt Clark as new President and CEO of Nature and Culture International
1	Nature is calling, our spring newsletter is here!
1	Milestone National Park: A Critical Span In  Ecuador’s 100-Mile Bridge of Protected Mountaintop Ecosystems
1	Protecting the Watershed of the Amazon Rainforest
1	Nature is Calling, Summer 2017
1	Nature and Culture International Announces Appointment of Leading Conservationist, Jose Alvarez, in Peru
1	Nature & Culture International Helps Ecuador with Establishment of A 6.3-million-acre Conservation Corridor in Amazon Rainforest
1	Striking the Balance: Nature & Economic Development in Bolivia
1	NCI Celebrates 20th Anniversary in Quito, Ecuador
1	Colombia Creates a New Protected Area!
1	The San Diego Union Tribune Interviews NCI Founder Ivan Gayler on Saving the planet, one forest at a time.
1	66,000 Acre Reserve Declared in Northern Peru
1	A Milestone for the Protection of Peru’s Birding Hotspot
1	Sustainable Livelihoods Series: Achiote Harvest in Ecuador
0	NCI Announced as 2016 Classy Awards Finalist
0	Update from Director of NCI-Ecuador
1	NCI Commemorates Expanded Partnership with Mexico’s National Park Service
0	Jaguar Sighting Near NCI’s Monte Mojino Reserve in Mexico
1	Nature and Culture International Names New Chairman of the Board
1	23,000 Acre Reserve Declared in the Andes of Ecuador
1	In 2015: 190,000 acres of Amazon rainforest safeguarded in Peru
1	In 2015: Nearly 450,000 acres of watershed forests protected in Bolivia and Ecuador
1	In 2015: Four new reserves declared in Colombia preserving over 170,000 acres
1	Celebrating Monte Alegre: 50,000 acres protected in the Amazon rainforest of Peru
1	Paving the Way for Protection of Peru’s Virrilá Estuary
1	93,000 Acres of Amazon Rainforest Protected in Peru with the Indigenous Awajun
1	New Reserve in Ecuador Protects Key Andean Ecosystems Along with Local Water Supply
1	NCI Assists in Colombia’s Declaration of Two New Cloud Forest Reserves
1	Making Great Strides in Protecting Ecuador’s Amazon Rainforest through SocioBosque
1	Mongabay.com Interviews NCI President Byron Swift on Scaling Bottom-Up Conservation in Latin America
1	Celebrating the National Declaration of Peru’s 977,600 Acre Maijuna-Kichwa Reserve After 8 Years of NCI’s Support
1	An Interview with Romero Ríos, President of the Indigenous Maijuna Federation
1	NCI-Peru Press Release: Celebrating the Declaration of the Maijuna-Kichwa Reserve in Peru’s Amazon
1	Key Water Sources and Archeological Sites Preserved by New Protected Area in Chachapoyas, Peru
1	Rainforest Conservation in Ecuador through the Eyes of an Indigenous Achuar
1	New Beginnings: NCI Expands to Protect Colombia’s Biodiversity
1	New Protected Area Declared to Conserve Key Ecosystems in Piura, Peru
1	Renowned biologist E.O. Wilson joins Nature and Culture’s Board of Directors
1	NCI Signs the United Nations’ New York Declaration on Forests
1	Indigenous Shuar and Kichwa Communities Protect Over 100,000 Acres of Amazon Rainforest in Ecuador
1	Disney Supports NCI’s Work in Mexico with a Grant for Jaguar Conservation
1	Protection of Key Watershed Underway in Peru, Totaling 1,617,000 Acres of Rainforest
1	Peruvian Candidates for Regional President Support Environmental and Social Principles
0	Opportunities for Expansion in Colombia
0	Interview with Lydia Lozano, Project Coordinator for NCI-Mexico
1	NCI’s Work Supports Creation of Ecuador’s 6th UNESCO Biosphere Reserve
1	NCI Helps Create Two New Reserves Spanning 70,000 Acres in Ecuador
1	UNDP’s Equator Prize Recognizes Sustainable Development Project
1	NCI Helps Indigenous Awajun Protect Rainforest
0	Five Cat Species Found in Monte Mojino Reserve
1	NCI, Indigenous Communities, and Pastaza Government Collaborate to Conserve Amazon
1	Shuar Communities Conserve Rainforest and Increase Income
0	A Maijuna Family
1	NCI Proposes Marine Protected Areas in Peru
1	NCI and Indigenous Awajun Work Towards Creation of Reserve
1	NCI Helps Establish Samanga Community Reserve
1	NCI Acts as Lead Catalyst for Cajas Biosphere Reserve
0	Ecuadorian Government Supports New Biosphere Reserve Alongside NCI
1	Photo of Last Jaguar in Amotapes Dry Forest?
1	Ocelot photos a first in Podocarpus National Park
0	NCI Featured on The Huffington Post
0	NCI Founder Featured in SD Union-Tribune
1	New declaration protects nearly 1,000,000 acres of Peruvian Amazon, home to threatened indigenous group
1	New Regional Conservation Area Protects 69,000 Acres in Peru
1	Regional Protected Areas in Peru Conserve Millions of Acres
1	Ecuador’s Government Backs Biosphere Reserve
0	30+ New Plant Species Discovered in Ecuador
1	NCI Helps Expand Río Nea Municipal Reserve
1	FORAGUA Water Fund Receives $500,000 for Reforestation
1	NCI Leads Creation of Peru’s First Private Watershed Conservation Area
1	NCI’s Land Purchase Expands Cazaderos Reserve by 4,460 Acres
0	Saving Peru’s Unique Grassland Paramos
0	Natura and NCI Conserve 7,500 Acres in Ecuador
0	NCI Signs 5-year Cooperative Agreement with Loreto Regional Government in Peru
0	NCI Ranked Top Conservation Funder in Ecuador
1	A NASA climate researcher has received the 2022 World Food Prize, comparable to a Nobel Prize for food and agriculture.
1	The instrument aboard the space station documents blistering temperatures in urban areas around Delhi during the historic heat wave on the Indian subcontinent.
1	The Surface Water and Ocean Topography mission will explore how the ocean absorbs atmospheric heat and carbon, moderating global temperatures and climate change.
1	The Atmospheric Infrared Sounder helps researchers predict weather, analyze air pollution, monitor volcanoes, and track a changing climate. And there’s more.
1	To help researchers model climate effects, the Earth Surface Mineral Dust Source Investigation mission will measure the composition of minerals that become airborne dust.
1	Inspired by how ants walk around their colonies, a NASA scientist is adding a new dimension to a satellite instrument that measures the height of Earth's ice sheets and sea ice.
1	The JPL-managed NASA’s Global Climate Change and Solar System Exploration sites, along with JPL’s virtual tour, are among the winners.
1	To assess how climate warming will change risks such as crop failures and wildfires, it’s necessary to look at how the risks are likely to interact.
1	Above Santa Barbara County, the Surface Biology and Geology High-Frequency Time Series, or SHIFT, campaign collects data to understand land and aquatic ecosystems.
1	Connect with NASA this Earth Day on April 22 by posting on social media an image of yourself, your pets, your favorite place, or even just text and tagging it with #NASAEarthling to show off what makes life on our planet truly special – you.
1	Arctic sea ice has likely reached its maximum extent for the year, continuing a  long-term downward trend.
1	Sentinel-6 Michael Freilich, the newest addition to a long line of ocean-monitoring satellites, becomes the reference satellite for sea level measurements.
1	Scientists are turning to a combination of data collected from the air, land, and space to get a more complete picture of how climate change is affecting the planet’s frozen regions.
1	NASA satellite data illuminates a critical relationship between low humidity and the outbreak of flu in the U.S.
1	Scientists analyzed coastal water quality in the months following a major Southern California wildfire. Their results were eye-opening.
0	A prize competition is designed to engage underrepresented academic institutions in helping NASA make advancements in machine learning, AI, and developing of autonomous systems.
1	NASA, NOAA, USGS, and other U.S. government agencies project that the rise in ocean height in the next 30 years could equal the total rise seen over the past 100 years.
1	Innovative mini instruments on the International Space Station have produced their first maps of global humidity and ocean winds.
1	To learn how ocean water is melting glaciers, NASA’s Oceans Melting Greenland mission extensively surveyed the coastline of the world’s largest island.
1	Over the past year, NASA has made valuable contributions to the Biden-Harris Administration’s goals – leading on the global stage, addressing the urgent issue of climate change, creating high-paying jobs, and inspiring future generations.
1	Earth’s global average surface temperature in 2021 tied with 2018 as the sixth warmest on record, according to independent analyses done by NASA and the National Oceanic and Atmospheric Administration (NOAA).
1	The year 2021 tied with 2018 as the sixth warmest year on record, continuing a long-term upward trend since 1880. Here, we answer six questions to help you understand NASA's global surface temperature analysis.
1	NASA Administrator Bill Nelson announced that Dr. Katherine Calvin will serve the agency in dual roles as chief scientist and senior climate advisor effective Monday.
1	The missions, including two led by the agency’s Jet Propulsion Laboratory, will help monitor our changing planet. Scientists will discuss them at the American Geophysical Union’s Fall Meeting.
1	Research shows the Southern Ocean (the continuous body of salt water around Antarctica) absorbs much more carbon from the atmosphere than it releases.
1	Topics of discussion include upcoming NASA Earth science launches, the scientific discoveries Perseverance’s investigations on Mars, and updates from the Juno mission.
1	Air quality improvements resulting from a worldwide reduction in greenhouse gas emissions would benefit human health and prevent economic losses, according to new research by scientists from NASA, Duke University, and Columbia University.
1	The Surface Water and Ocean Topography spacecraft enters the home stretch as an international team prepares this next-generation satellite for launch in 2022.
1	The 3D real-time visualization tool lets users track NASA satellites as well as the vital Earth science data they provide. Recent upgrades make for an even more fascinating experience.
1	Earth’s atmosphere reacted in surprising ways to the lowering of emissions during the pandemic, showing how closely climate warming and air pollution are linked.
0	Called INCUS, it aims to directly address why convective storms, heavy precipitation, and clouds occur exactly when and where they form.
1	Vice President Kamala Harris will visit NASA’s Goddard Space Flight Center in Greenbelt, Maryland today, Nov. 5, to get a firsthand look at the agency’s work to combat the climate crisis and protect vulnerable communities.
1	NASA is participating in the 26th U.N. Climate Change Conference of the Parties (COP26) in Glasgow, Scotland, through Friday, Nov. 12. Get the schedule of events where the agency will be involved.
1	Climate change may affect the production of maize (corn) and wheat as early as 2030, according to a new NASA study.
1	Sea ice plays an important role in regulating our climate. Here are five facts to help you better understand Arctic sea ice.
1	NASA Administrator Bill Nelson and Deputy Administrator Pam Melroy met with elected officials about Earth science and visited mission control for the Perseverance Mars rover.
0	As satellites collect larger and larger amounts of data, engineers and researchers are implementing solutions to manage these huge increases.
1	As the ice-and-snow rubble known as mélange melts in Antarctica’s ice shelves, rifts can grow and icebergs break off even in the brutal cold of winter.
1	Climate change is impacting agriculture in a number of ways. Researchers use satellite data and computer modeling to monitor and mitigate these impacts.
1	New NASA research is showing how drought in the western U.S. is expected to change in the future, providing stakeholders with crucial information for decision making.
1	Climate change is making droughts more frequent, severe, and pervasive. NASA satellites provide data about water availability to the U.S. Drought Monitor, which helps farmers prepare for drought, determining where and what to feed their livestock.
1	Sea ice in the Arctic appears to have hit its annual minimum extent on Sept. 16, at 4.72 million square kilometers (1.82 million square miles).
1	Millions of people suffer from food insecurity around the globe. With the help of Earth-observing satellites, the NASA-USAID SERVIR project is hoping to reduce that number.
1	A new study from Lancaster University, NASA, and others finds the Montreal Protocol protects Earth’s plants and may help keep the planet from warming another 0.85 °C (1.53 °F) by 2100.
1	Smoke from several large wildfires burning in Northern California can be seen traveling miles into the atmosphere.
1	A new online visualization tool will enable anyone to see what sea levels will look like anywhere in the world in the decades to come.
1	The pioneering campaign drops probes from a plane into the sea to track how seawater is melting glaciers and lend insight into the future of sea level rise.
1	Earth’s magnetosphere shields us from harmful energy from the Sun and deep space. Take a deep dive to the center of our world to learn more about its causes, effects, variations, and how scientists study it.
1	For almost half a century, Landsat satellites have been in orbit, tracking changes to the landscapes and coastal areas of our home planet. Landsat 9 continues that legacy.
1	The instrument on the International Space Station is uniquely positioned to provide wildfire responders with a high-resolution look at fire progression.
1	A new index shows that the world’s rainforests are responding differently to threats like a warming climate and deforestation.
1	The finding comes out of an effort to map where vegetation is emitting and soaking up carbon dioxide from the atmosphere.
1	While one science instrument mapped the dome of high pressure that settled over the southwestern U.S. in early July, another captured ground surface temperatures.
1	While scientists at our partner institutions are directly focusing on shark conservation, NASA's Earth-observing satellites collect key information about sharks' habitat – the ocean.
1	A visualization feature captures the quantities of climate change.
1	The science instrument mapped the dome of high pressure that settled over the northwestern U.S. and western Canada in late June, sending temperatures into the triple digits.
1	In the mid-2030s, every U.S. coast will experience rapidly increasing high-tide floods, when a lunar cycle will amplify rising sea levels caused by climate change.
1	Set for launch next year, the Surface Water and Ocean Topography mission will help scientists monitor Earth’s ocean, as well as the amount of fresh water in its lakes and rivers.
0	Sentinel-6 Michael Freilich, the latest spacecraft to monitor sea surface height, releases its first science measurements to users.
0	The upgraded interactive mapping tool can show you potential landslide activity anywhere between the poles in near-real-time.
1	When lockdowns during the coronavirus pandemic cut local nitrogen oxide emissions, the effect on ozone pollution was global and unexpectedly rapid.
1	Such detailed maps could help policymakers choose the most effective ways of cutting carbon emissions.
1	Fixing just the worst leaks in the Permian Basin oilfield’s infrastructure could cut methane emissions by 55 tons an hour, according to a study by NASA, University of Arizona, and ASU.
1	NASA will design a new set of Earth-focused missions to guide efforts related to climate change, mitigating disaster, fighting forest fires, and improving real-time agricultural processes.
0	The American Institute of Aeronautics and Astronautics (AIAA) is honoring Jet Propulsion Laboratory Director Watkins and Autonomous Systems Manager Gross, plus two European partners, for work on the GRACE missions.
1	So just how does the Surface Water and Ocean Topography (SWOT) mission expect to measure what’s flowing in the planet’s lakes, rivers, and oceans? A very busy project manager explains.
1	Windy regions high in the atmosphere can transport pollutants like dust or soot thousands of miles around the world and disrupt everyday life for thousands of people.
1	In addition to collecting data on humanity's effect on our planet, NASA is working toward becoming more sustainable.
1	Due to ice's important role in the Earth system, NASA is committed to studying it extensively.
1	As Earth's climate changes, the International Space Station watches from above, helping to provide unique insights to keep our planet safe.
1	From the vantage point of space, NASA’s fleet of Earth-observing satellites investigates connections between ecosystems that are continents apart, or right next door.
1	Temperature and weather systems each interact with, and are influenced by, a multitude of Earth systems, each affected by the warming climate. One of those is the global transport of massive dust plumes from one continent to another.
1	The tool will help people, including resource managers and other officials, address increasing concentrations of methane and carbon dioxide in the atmosphere.
1	Teams are headed out by land, water, and air to collect data that will be used to forecast land gain and loss in the Mississippi River Delta as a result of sea level rise.
1	A NASA study has confirmed with direct evidence that human activities are changing Earth's energy budget, trapping much more energy from the Sun than is escaping back into space.
1	Designed to spot potential natural hazards and help researchers measure how melting land ice will affect sea level rise, the NISAR spacecraft marks a big step as it takes shape.
1	As a leading agency observing and understanding environmental changes on Earth, NASA has joined the Biden administration's National Climate Task Force.
0	This tool provides information that will help people track droughts or floods, make plans for when to plant crops, and forecast agricultural yields.
1	To investigate humans’ impact on freshwater resources, scientists have conducted the first global accounting of fluctuating water levels in Earth’s lakes and reservoirs – including ones previously too small to measure from space.
1	A short-lived resurgence in the emission of ozone-depleting pollutants in eastern China will not significantly delay the recovery of Earth’s protective “sunscreen” layer, according to new research.
1	A NASA airborne campaign studying aerosols has returned to the field for a second year of science flights.
1	Scientists have created a new method for measuring carbon fluctuations in forests
1	Scientists with NASA’s Oceans Melting Greenland mission are probing deep below the island’s warming coastal waters to help us better predict the rising seas of the future.
1	Earth’s global average surface temperature in 2020 tied with 2016 as the warmest year on record, according to an analysis by NASA.
1	As atmospheric carbon dioxide levels increase, 86% of land ecosystems globally are becoming less efficient at absorbing increasing levels of the greenhouse gas.
1	As glaciers flow outward from the Greenland Ice Sheet, what lies beneath them offers clues to their role in future ice thinning and sea-level rise contribution.
1	"New research shows that as Earth’s climate changes, increased carbon absorption by Arctic plants is being offset by a corresponding plant ""productivity"" decline in the tropics."
1	NASA researchers are tracking the effects of the COVID-19 pandemic on our air, land, water, and climate. These datasets have been collected in a free and openly available online dashboard.
1	New NASA research is helping the City of San Francisco plan measures to adapt to sea level rise.
1	Launched on a Falcon 9 rocket Nov. 21, the U.S.-European satellite will measure the world's ocean with unprecedented accuracy.
1	At this year's American Geophysical Union (AGU), researchers are highlighting how an ice-measuring mission is helping to understand aspects of our home planet far beyond what it was intended to do.
1	High-tide flooding is an increasing fact of life for U.S. coastal areas. A new tool developed with NASA funding projects its annual frequency for 97 U.S. cities and how it will change over time.
1	New research has found that human-produced noise and light pollution are troublesome for North American bird reproduction, potentially affecting the birds' responses to climate change.
1	With the Arctic showing more extreme indications of climate change, researchers have found that the movement patterns of animals in the region are shifting, which could disrupt entire ecosystems.
1	Sentinel-6 Michael Freilich, the world's latest sea level satellite, is in orbit and ready to begin taking critical ocean measurements for the next five-and-a-half years.
1	The world's newest sea level-measuring satellite is scheduled to launch on Saturday, Nov. 21, at 9:17 a.m. PT. Here is what you need to know to keep up.
1	A new study tracing the sources of carbon dioxide, the most significant human-generated greenhouse gas, reveals the unexpectedly large influence of vegetation in urban environments.
1	The U.S.-European collaboration aims to measure sea level and will launch from the California coast in late November.
1	Sea level rise can feel abstract, like something looming far off in the future. But if you want to see it happening in real-time, look no further than high-tide floods.
1	Up to two-thirds of NASA's infrastructure is potentially at risk of sea level rise. The agency is taking steps to prepare.
1	U.S. West Coast sea levels are rising faster than the global average. Learn about the various forces that influence regional sea levels to better understand what's happening on this coast and whether it will continue.
1	A warming climate is taking its toll on Greenland and Antarctica glaciers, melting them from above and below the surface. The more they melt, the higher sea levels rise.
1	Our global sea level is rising at a faster and faster rate–impacting communities along coastlines worldwide. From space, planes, and ships, @NASA is #SeeingTheSeas while studying the causes and effects of our rising waters.
1	Season three covers not just how our planet's volcanoes, earthquakes, oceans, rivers, atmosphere, and climate work, but how they are all interconnected.
1	Details about the physical transformation of over 200 of the island’s coastal glaciers are documented in a new study, in which the authors anticipate environmental impacts.
1	A first-ever partnership between NASA, epidemiologists and health organizations will use data from a new NASA space mission to study how particulate matter air pollution affects our health.
1	Scientists demonstrated a new method for mapping the location and size of trees growing outside of forests, discovering billions of trees in arid and semi-arid regions and laying the groundwork for more accurate global measurement of carbon storage on land.
1	The Sentinel-6 Michael Freilich spacecraft will soon be heading into orbit to monitor the height of the ocean for nearly the entire globe.
0	New study results show that ocean heat waves can provide enough fuel for hurricanes to gain momentum as they approach land.
1	The U.S.-European partnership will track sea level height. Learn more about the mission in this live event.
1	Launching soon from the California coast, the satellite will track sea levels worldwide. A new video series introduces some of the NASA Jet Propulsion Laboratory scientists and engineers involved in the mission.
1	Set for launch in November, the Earth-observing satellite will closely monitor sea level and provide atmospheric data to support weather forecasting and climate models.
0	The Sentinel-6 Michael Freilich spacecraft will launch from the U.S. West Coast aboard a SpaceX Falcon 9 rocket in November.
1	As Arctic summers warm, northern landscapes change. A new study finds as the region has experienced warmer air and soil temperatures, the tundra has become greener. This affects local people and wildlife and may thaw permafrost, releasing greenhouse gases.
1	Researchers will design a mission to learn about underground aquifers in areas such as the Sahara and how climate change will affect them in the future.
1	This year’s Arctic sea ice cover shrank to the second lowest extent since modern record-keeping began in the late 1970s, at 1.44 million square miles (3.74 million square kilometers).
1	An international effort has generated new estimates of the impact Earth’s melting ice sheets could have on global sea levels by 2100.
1	The observations from Earth orbit show high-altitude concentrations of the gas that are more than 10 times typical amounts.
1	NASA’s ECOSTRESS instrument recently imaged active fires across California, showing multiple areas hotter than 375 degrees Fahrenheit (191 degrees Celsius).
1	To get the best measurements of Earth's atmosphere, you sometimes have to leave it. This November, the Sentinel-6 Michael Freilich spacecraft will do just that.
1	Researchers were recently awarded rapid-turnaround project grants to explore how COVID-19 stay-at-home measures are affecting the environment and how the environment is affecting the virus's spread.
1	In the largest-ever study of glacial lakes, researchers have found that the volume of these lakes worldwide has increased by about 50% since 1990 as glaciers melt and retreat due to climate change.
1	"To aid policymakers in environmental decision-making, new high-resolution maps show forest location and ecological ""quality,"" taking into account information like tree height and forest canopy thickness."
1	Scientists have gained new insights into the processes that have driven ocean level variations for over a century, helping us prepare for the rising seas of the future.
1	After a brief period of moderate ice loss, the Greenland ice sheet melted in 2019 at the fastest rate ever measured.
1	Researchers have created the first map of the causes of global mangrove habitat change between 2000 and 2016—a valuable tool to aid conservation efforts for these vital coastline defenders.
1	Glaciers in the High Mountain Asia region could lose substantial amounts of ice over the coming decades, a new modeling study shows.
1	This summer, Siberia has seen potentially record-breaking temperatures as high as 100.4 degrees Fahrenheit (20 degrees Celsius) as well as wildfires burning on a massive scale across the countryside.
1	The new projects look at food- and water-supply stability and how changes in human activity are affecting the environment.
1	Scheduled to launch in 2023, NASA’s upcoming Plankton, Aerosol, Cloud, ocean Ecosystem, or PACE, mission will measure ocean color to extend data records on ocean ecology and related climate studies. Here is what the mission will observe at every wavelength.
1	A space-based laser that measures clouds and small atmospheric particles called aerosols has provided a unique view of the massive Saharan dust plume that crossed the North Atlantic Ocean in June.
1	The Sentinel-6/Jason-CS satellite mission will add to a long-term sea level dataset that's become the gold standard for climate studies from orbit.
1	Aerosol particles (such as dust) have an effect on human health, weather and climate. A NASA satellite has shown the massive dust plume traveling across the Atlantic Ocean from Africa's Saharan Desert.
1	In response to the global coronavirus (COVID-19) pandemic, NASA, ESA (European Space Agency), and JAXA (Japan Aerospace Exploration Agency) have joined forces to document planet-wide changes in the environment and society. The information now is available at the touch of a finger.
1	NASA, ESA (European Space Agency) and JAXA (Japan Aerospace Exploration Agency) will unveil a dashboard of satellite data showing impacts on the environment and socioeconomic activity caused by the global response to the coronavirus (COVID-19) pandemic during a media teleconference at 9 a.m. EDT Thursday, June 25.
0	A team of engineers in the U.S. and Europe subjected the Sentinel-6 Michael Freilich spacecraft to a battery of trials to ready it for liftoff later this year.
1	NASA’s Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) mission has successfully passed its design reviews and moved into its construction and testing phase, preparing to advance the fields of global ocean and atmospheric science when it launches in 2023.
1	NASA has funded four projects to create virtual portals with biodiversity information for scientists, land managers and decision makers regarding the status of terrestrial ecosystems in a warming world.
1	Continuous monitoring of glaciers and ice caps has provided unprecedented insights into global ice loss that could have serious socioeconomic impacts on some regions.
1	"Winners include the JPL-managed ""Send Your Name to Mars"" campaign, NASA's Global Climate Change website and JPL's Solar System Interactive."
0	After California, Arizona and Nevada set mandatory stay-at-home restrictions to try to slow the spread of COVID-19, the Aura satellite observed decreased nitrogen dioxide levels over certain cities.
1	Initial results from a new NASA satellite suggest that winter Arctic sea ice has thinned by as much as 20% since 2008, contrary to existing studies that find sea ice thickness has remained relatively constant in the last decade.
1	Through its Rapid Response and Novel Research in Earth Science (RRNES) initiative, NASA is providing funding for selected, rapid-turnaround projects that make innovative use of satellite data and other NASA resources to address the different environmental, economic and societal impacts of COVID-19.
1	On May 3, 2020, climatologist and author Claire Parkinson of NASA’s Goddard Space Flight Center in Greenbelt, Md, was named one of 27 finalists to win a prestigious award recognizing outstanding federal employees who serve the public good and are addressing many of our country’s greatest challenges.
1	Ice loss from Antarctica and Greenland account for roughly a half-inch of sea level rise between 2003 and 2019.
0	NASA's social media and websites spanned the virtual universe in 2020, and they got noticed. NASA received 12 nominations for the 2020 Webby Awards, nearly double the number of any previous year.
1	The Arctic is a bellwether for Earth's health. Chip Miller, deputy science lead for NASA's ABoVE field campaign, discusses changes the team is seeing as they study how Arctic and boreal ecosystems and societies are responding to a warming world.
1	From keeping tabs on rising seas to flooding mitigation and disaster response, NASA has us covered.
1	Earth is a pale blue dot when seen from space because it's 71% covered in water. NASA monitors Earth's water from space, the skies, ground stations on land, ships sailing the seas and even with apps on mobile phones.
1	NASA data are being put to practical use by improving the energy efficiency of buildings and siting renewable energy technology, like wind turbines and solar panels.
1	To honor the day's 50th anniversary, NASA's Jet Propulsion Laboratory has unveiled posters in which our home planet is the star.
1	Fifty years ago, people around the world marked the first Earth Day. This year, as we physically separate ourselves by necessity, NASA has collected activities, videos, special programs and other materials to help you observe “Earth Day at Home.”
1	NASA researchers report that ozone levels above the Arctic reached a record low on March 12. While such low levels are rare, they are not unprecedented.
1	NASA has been studying air quality from the ground and from space for decades. This article highlights a few of the many projects under way and planned for the years to come.
1	Over the past several weeks, NASA satellite measurements have revealed significant air pollution reductions over the major metropolitan areas in the Northeastern U.S.
1	From podcasts to live Q&A sessions to image galleries, the agency offers an entire world of ways to celebrate and learn more about our home planet.
0	When modeling the El Niño-Southern Oscillation (ENSO) ocean-climate cycle, adding satellite sea surface salinity — or saltiness — data significantly improves model accuracy, according to a new NASA study.
1	Across NASA’s many missions, thousands of scientists, engineers, and other experts and professionals all over the country are doing what they do best, but now from home offices and via video conferencing.
1	Severe flooding throughout the Midwest—which triggered a delayed growing season for crops in the region—led to a reduction of 100 million metric tons of net carbon uptake during June and July of 2019, according to a new study.
1	Satellite data on the movement of water on Earth helps to improve the accuracy of moisture maps and forecasts.
1	The shape of the ground beneath Denman Glacier, which is melting from the bottom up, makes it particularly vulnerable to the intrusion of seawater.
1	NASA’s new 3-dimensional portrait of methane shows the world’s second largest contributor to global warming as it travels through the atmosphere, along with its ground sources.
1	After nearly two decades, a NASA mission that measured solar irradiance (the Sun's energy) and its impact on Earth's climate has concluded operations.
1	Greenland and Antarctica are melting—but how quickly and which areas are most affected? Nearly 20 years of satellite data provide key insights into these questions.
1	The two regions have lost 6.4 trillion tons of ice in three decades
